Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21
, 10        , Jos Teaching    , Plateau , Jos City     , Hematology     , Hematology Analyzer, 2      , 30000            , HemoTech      , David Wilson     , +6677889900    , david@hemotech.us   , USA             , 2024-04-05   , 2024-04-30     , 24                       , 1000                         , 800                     , New                 ,
, 11        , Warri General      , Delta      , Warri City      , Emergency Care   , Defibrillator       , 3        , 5000             , LifeSaver        , Emma Watson      , +1122334455    , emma@lifesaver.com      , USA             , 2024-03-15   , 2024-04-10     , 24                       , 1000                         , 500                     , New                 ,
, 12        , Calabar Medical    , Cross River, Calabar City    , Gynecology       , Colposcope          , 1        , 8000             , GynoTech         , Maria Sanchez    , +9988776655    , maria@gynotech.mx       , Mexico          , 2024-02-20   , 2024-03-18     , 36                       , 1200                         , 700                     , Refurbished         ,
, 13        , Sokoto Teaching    , Sokoto     , Sokoto City     , Nephrology       , Dialysis Machine    , 2        , 20000            , NephroCare       , Hassan Ali       , +3322114455    , hassan@nephrocare.sa    , Saudi Arabia    , 2024-01-10   , 2024-02-05     , 48                       , 2500                         , 1500                    , New                 ,
, 14        , Uyo Specialist     , Akwa Ibom  , Uyo City        , Ophthalmology    , Fundus Camera       , 1        , 12000            , EyeTech          , Sophia Chen      , +7755332211    , sophia@eyetech.tw       , Taiwan          , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 900                     , New                 ,
, 15        , Abeokuta General   , Ogun       , Abeokuta City   , Dermatology      , Laser Machine       , 1        , 35000            , DermiCare        , Ahmed Saleh      , +6677889900    , ahmed@dermicare.eg      , Egypt           , 2024-03-05   , 2024-03-28     , 48                       , 3000                         , 1800                    , Refurbished         ,
, 16        , Osogbo Regional    , Osun       , Osogbo City     , Psychiatry       , EEG Machine         , 1        , 10000            , NeuroTech        , Pedro Martinez   , +1122334455    , pedro@neurotech.es      , Spain           , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 1000                    , Refurbished         ,
, 17        , Yola Medical       , Adamawa    , Yola City       , Gastroenterology, Endoscopy Machine  , 2        , 25000            , GastroTech       , Hassan Mohamed   , +9988776655    , hassan@gastrotech.sa    , Saudi Arabia    , 2024-03-20   , 2024-04-15     , 48                       , 2000                         , 1200                    , New                 ,
, 18        , Maiduguri General , Borno      , Maiduguri City , Oncology         , Chemotherapy Pump , 3        , 15000            , OncoCare         , Emily Johnson    , +3322114455    , emily@oncocare.cn       , China           , 2024-01-25   , 2024-02-20     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 19        , Makurdi Hospital  , Benue      , Makurdi City    , ENT              , Audiometer         , 1        , 5000             , HearTech         , David Wilson     , +7755332211    , david@heartech.us       , USA             , 2024-04-05   , 2024-04-30     , 24                       , 800                          , 600                     , New                 ,
, 20        , Lokoja Medical    , Kogi       , Lokoja City     , Pulmonology      , Spirometer         , 2        , 7000             , PulmoTech        , Fatima Khan      , +6677889900    , fatima@pulmotech.in     , India           , 2024-03-10   , 2024-04-05     , 36                       , 1200                         , 800                     , New                 ,
, 21        , Ile-Ife General   , Osun       , Ile-Ife City    , Rheumatology     , Ultrasound         , 1        , 10000            , Sonoscan         , Michael Chang    , +1122334455    , michael@sonoscan.jp     , Japan           , 2024-02-15   , 2024-03-10     , 24                       , 1000                         , 700                     , Refurbished         ,
, 22        , Ado-Ekiti Medical , Ekiti     , Ado-Ekiti City , Cardiology       , Holter Monitor    , 2        , 3000             , CardioCare       , Emma Watson      , +9988776655    , emma@cardiocare.com     , USA             , 2024-01-20   , 2024-02-15     , 36                       , 800                          , 500                     , Used - Fair         ,
, 23        , Awka General      , Anambra    , Awka City       , Hematology       , Coagulation Analyzer, 1   , 12000            , HemoTech         , David Wilson     , +3322114455    , david@hemotech.us       , USA             , 2024-04-10   , 2024-05-05     , 24                       , 1500                         , 1000                    , New                 ,
, 24        , Epe Medical       , Lagos     , Epe City        , Pediatrics       , Infant Incubator  , 2        , 8000             , NeoCare          , Jessica Brown    , +7755332211    , jessica@neocare.au      , Australia       , 2024-03-28   , 2024-04-22     , 36                       , 1000                         , 700                     , Refurbished         ,
, 25        , Ikeja General     , Lagos     , Ikeja City      , Orthopedics      , Bone Densitometer, 1        , 25000            , OrthoTech        , Anna Lee         , +6677889900    , anna@orthotech.fr       , France          , 2024-02-05   , 2024-03-01     , 48                       , 2000                         , 1200                    , New                 ,
, 26        , Ife Central       , Osun      , Ife City        , Surgery          , Surgical Microscope, 1   , 40000            , SurgiEquip       , Ahmed Hassan     , +1122334455    , ahmed@surgiequip.com    , UAE             , 2024-01-10   , 2024-02-05     , 36                       , 2500                         , 1500                    , New                 ,
, 27        , Umuahia Medical   , Abia      , Umuahia City    , Radiology        , CT Scanner        , 1        , 200000           , RadiantTech      , Maria Garcia     , +9988776655    , maria@radiantech.de     , Germany         , 2024-04-02   , 2024-04-25     , 48                       , 5000                         , 3000                    , New                 ,
, 28        , Gombe Specialist  , Gombe     , Gombe City      , Neurosurgery     , C-Arm Machine    , 1        , 70000            , NeuroSurg        , Pedro Martinez   , +3322114455    , pedro@neurosurg.es      , Spain           , 2024-03-20   , 2024-04-15     , 36                       , 3000                         , 2000                    , Refurbished         ,
, 29        , Damaturu Hospital , Yobe      , Damaturu City   , Obstetrics       , Fetal Monitor    , 2        , 6000             , NeoCare          , Jessica Brown    , +7755332211    , jessica@neocare.au      , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Fair         ,
, 30        , Bauchi General    , Bauchi    , Bauchi City     , Emergency Care   , Ventilator       , 2        , 25000            , RespCare         , Emily Johnson    , +6677889900    , emily@respcare.cn       , China           , 2024-01-20   , 2024-02-15     , 36                       , 1500                         , 1000                    , Refurbished         ,
,-----------,-------------------,------------,-----------------,-----------------,--------------------,----------,------------------,-------------------,------------------,----------------,-------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 31        , Ijebu-Ode General, Ogun       , Ijebu-Ode City  , Dermatology     , Cryotherapy Machine, 1        , 15000            , DermaTech         , Sarah Lee        , +6677889900    , sarah@dermatech.kr     , South Korea     , 2024-04-10   , 2024-05-05     , 36                       , 2000                         , 1200                    , New                 ,
, 32        , Okene Medical     , Kogi       , Okene City      , Pulmonology     , Oxygen Concentrator, 3       , 3000             , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn      , China           , 2024-03-15   , 2024-04-10     , 24                       , 1000                         , 500                     , Used - Good         ,
, 33        , Abakaliki Hospital, Ebonyi     , Abakaliki City  , Urology         , Cystoscope         , 1        , 10000            , UroMed            , Fatima Khan      , +6677889900    , fatima@uromed.in       , India           , 2024-02-20   , 2024-03-18     , 36                       , 1500                         , 1000                    , Refurbished         ,
, 34        , Sapele General    , Delta      , Sapele City     , Gynecology      , Hysteroscope       , 2        , 8000             , GynoTech          , Maria Sanchez    , +7755332211    , maria@gynotech.mx      , Mexico          , 2024-01-10   , 2024-02-05     , 24                       , 1200                         , 700                     , New                 ,
, 35        , Iseyin Medical    , Oyo        , Iseyin City     , Hematology      , Hemoglobin Analyzer, 1        , 10000            , HemoTech          , David Wilson     , +3322114455    , david@hemotech.us      , USA             , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 36        , Otukpo Hospital   , Benue      , Otukpo City     , ENT             , Rhinolaryngoscope  , 1        , 6000             , ENT Solutions     , Anna Lee         , +9988776655    , anna@ent-solutions.fr  , France          , 2024-03-05   , 2024-03-28     , 24                       , 800                          , 500                     , Used - Fair         ,
, 37        , Ogaminana General, Kogi       , Ogaminana City  , Neurology       , EMG Machine        , 1        , 25000            , NeuroTech         , Pedro Martinez   , +6677889900    , pedro@neurotech.es     , Spain           , 2024-02-28   , 2024-03-25     , 48                       , 2000                         , 1200                    , New                 ,
, 38        , Ode-Ekiti Medical , Ekiti     , Ode-Ekiti City  , Cardiology      , Stress Test System, 2        , 20000            , CardioCare        , Emma Watson      , +7755332211    , emma@cardiocare.com    , USA             , 2024-01-20   , 2024-02-15     , 36                       , 1200                         , 700                     , Refurbished         ,
, 39        , Egbe Specialist   , Kogi       , Egbe City       , Oncology        , Linear Accelerator, 1        , 500000           , OncoTech          , Emily Johnson    , +3322114455    , emily@oncotech.cn      , China           , 2024-04-10   , 2024-05-05     , 48                       , 5000                         , 3000                    , New                 ,
, 40        , Ifo Medical       , Ogun       , Ifo City        , Pediatrics      , Phototherapy Unit , 2        , 5000             , NeoCare           , Jessica Brown    , +6677889900    , jessica@neocare.au     , Australia       , 2024-03-15   , 2024-04-10     , 24                       , 1000                         , 500                     , Used - Good         ,
, 41        , Idanre General    , Ondo       , Idanre City     , Orthopedics     , Traction Table    , 1        , 15000            , OrthoTech         , Anna Lee         , +7755332211    , anna@orthotech.fr      , France          , 2024-02-20   , 2024-03-18     , 36                       , 2000                         , 1200                    , New                 ,
, 42        , Ikom Medical      , Cross River, Ikom City       , Surgery         , Electrosurgical Unit, 1    , 8000             , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com   , UAE             , 2024-01-10   , 2024-02-05     , 48                       , 1500                         , 1000                    , Refurbished         ,
, 43        , Ijero-Ekiti Hosp  , Ekiti      , Ijero-Ekiti City, Radiology       , Mammography Machine, 1     , 30000            , MammoTech         , Emily Johnson    , +6677889900    , emily@mammotech.cn     , China           , 2024-04-02   , 2024-04-25     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 44        , Ikirun General    , Osun       , Ikirun City     , Psychiatry      , Psychiatric Bed   , 3        , 2000             , PsychiCare        , Sarah Lee        , +7755332211    , sarah@psychicare.kr    , South Korea     , 2024-03-05   , 2024-03-28     , 24                       , 800                          , 600                     , Used - Fair         ,
, 45        , Ilorin Central    , Kwara      , Ilorin City     , Gastroenterology, Colonoscope       , 1        , 25000            , GastroTech        , Hassan Mohamed   , +3322114455    , hassan@gastrotech.sa   , Saudi Arabia    , 2024-02-28   , 2024-03-25     , 36                       , 2000                         , 1200                    , New                 ,
, 46        , Ikare Specialist , Ondo       , Ikare City      , Hematology      , Blood Analyzer   , 2        , 15000            , HemoTech          , David Wilson     , +6677889900    , david@hemotech.us      , USA             , 2024-01-10   , 2024-02-05     , 48                       , 1500                         , 800                     , Refurbished         ,
, 47        , Ilaro Medical     , Ogun       , Ilaro City      , ENT             , Otoscope         , 3        , 1000             , ENT Solutions     , Anna Lee         , +7755332211    , anna@ent-solutions.fr  , France          , 2024-04-02   , 2024-04-25     , 24                       , 500                          , 300                     , Used - Fair         ,
, 48        , Iragbiji Hospital , Osun       , Iragbiji City   , Neurosurgery    , Neuroendoscope   , 1        , 40000            , NeuroSurg         , Pedro Martinez   , +3322114455    , pedro@neurosurg.es     , Spain           , 2024-03-15   , 2024-04-10     , 36                       , 3000                         , 2000                    , New                 ,
, 49        , Ijebu-Igbo General, Ogun       , Ijebu-Igbo City, Cardiology      , Echocardiogram  , 1        , 40000            , CardioTech        , Emma Watson      , +6677889900    , emma@cardiotech.com    , USA             , 2024-02-20   , 2024-03-18     , 48                       , 2500                         , 1500                    , New                 ,
, 50        , Ilobu Medical     , Osun       , Ilobu City      , Pulmonology     , CPAP Machine     , 2        , 3000             , RespCare          , Emily Johnson    , +7755332211    , emily@respcare.cn      , China           , 2024-01-10   , 2024-02-05     , 24                       , 1000                         , 500                     , Used - Good         ,
,-----------,-------------------,-------------,-----------------,-----------------,----------------------,----------,------------------,-------------------,------------------,----------------,-------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 51        , Ikom Medical      , Cross River , Ikom City       , Surgery         , Anesthesia Machine  , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com   , UAE             , 2024-04-10   , 2024-05-05     , 36                       , 2500                         , 1500                    , New                 ,
, 52        , Abakaliki Hospital, Ebonyi      , Abakaliki City  , Urology         , Lithotripsy Machine , 1        , 70000            , UltraMed          , Fatima Khan      , +6677889900    , fatima@ultramed.in     , India           , 2024-03-15   , 2024-04-10     , 48                       , 3000                         , 2000                    , Refurbished         ,
, 53        , Iseyin Medical    , Oyo         , Iseyin City     , Hematology      , Hematology Analyzer , 1        , 30000            , HemoTech          , David Wilson     , +7755332211    , david@hemotech.us      , USA             , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 54        , Otukpo Hospital   , Benue       , Otukpo City     , ENT             , Audiometer          , 1        , 5000             , HearTech          , Sophia Chen      , +9988776655    , sophia@heartech.tw     , Taiwan          , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 600                     , New                 ,
, 55        , Ogaminana General, Kogi        , Ogaminana City  , Neurology       , EEG Machine         , 2        , 10000            , NeuroTech         , Pedro Martinez   , +6677889900    , pedro@neurotech.es     , Spain           , 2024-04-02   , 2024-04-25     , 48                       , 2000                         , 1200                    , New                 ,
, 56        , Ode-Ekiti Medical , Ekiti      , Ode-Ekiti City  , Cardiology      , ECG Machine         , 1        , 8000             , CardioCare        , Emma Watson      , +7755332211    , emma@cardiocare.com    , USA             , 2024-03-15   , 2024-04-10     , 36                       , 1000                         , 500                     , Used - Good         ,
, 57        , Egbe Specialist   , Kogi        , Egbe City       , Oncology        , Radiation Machine   , 1        , 250000           , RadSource         , Maria Garcia     , +3322114455    , maria@radsource.de     , Germany         , 2024-02-28   , 2024-03-25     , 48                       , 5000                         , 3000                    , New                 ,
, 58        , Ifo Medical       , Ogun        , Ifo City        , Pediatrics      , Infant Incubator    , 2        , 8000             , NeoCare           , Jessica Brown    , +6677889900    , jessica@neocare.au     , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 1000                         , 500                     , Used - Good         ,
, 59        , Idanre General    , Ondo        , Idanre City     , Orthopedics     , X-ray Machine       , 1        , 40000            , MedImaging        , Anna Lee         , +7755332211    , anna@medimaging.fr     , France          , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 60        , Ikom Medical      , Cross River , Ikom City       , Surgery         , Operating Table     , 1        , 30000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com   , UAE             , 2024-03-05   , 2024-03-28     , 48                       , 2000                         , 1200                    , New                 ,
, 61        , Ijebu-Igbo General, Ogun        , Ijebu-Igbo City, Radiology       , Ultrasound          , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp    , Japan           , 2024-02-20   , 2024-03-18     , 36                       , 2000                         , 1200                    , New                 ,
, 62        , Iragbiji Hospital , Osun        , Iragbiji City   , Neurosurgery    , MRI Machine         , 1        , 500000           , Imagix            , Jane Smith       , +7755332211    , jane@imagix.co.uk      , UK              , 2024-01-10   , 2024-02-05     , 48                       , 5000                         , 3000                    , New                 ,
, 63        , Ilaro Medical     , Ogun        , Ilaro City      , ENT             , Endoscope           , 1        , 15000            , SurgiSupplies     , Ahmed Hassan     , +3322114455    , ahmed@surgisup.com     , UAE             , 2024-04-10   , 2024-05-05     , 36                       , 2500                         , 1500                    , New                 ,
, 64        , Ikirun General    , Osun        , Ikirun City     , Psychiatry      , Psychiatric Ward    , 3        , 2000             , PsychiCare        , Sarah Lee        , +6677889900    , sarah@psychicare.kr    , South Korea     , 2024-03-15   , 2024-04-10     , 24                       , 800                          , 600                     , Used - Fair         ,
, 65        , Ilorin Central    , Kwara       , Ilorin City     , Gastroenterology, Gastroscope         , 1        , 25000            , GastroTech        , Hassan Mohamed   , +7755332211    , hassan@gastrotech.sa   , Saudi Arabia    , 2024-02-28   , 2024-03-25     , 36                       , 2000                         , 1200                    , New                 ,
, 66        , Ikare Specialist , Ondo        , Ikare City      , Hematology      , Coagulation Analyzer, 2    , 12000            , HemoTech          , David Wilson     , +3322114455    , david@hemotech.us      , USA             , 2024-01-10   , 2024-02-05     , 48                       , 1500                         , 800                     , Refurbished         ,
, 67        , Ilaro Medical     , Ogun        , Ilaro City      , ENT             , Otoscope            , 3        , 1000             , ENT Solutions     , Anna Lee         , +7755332211    , anna@ent-solutions.fr  , France          , 2024-04-02   , 2024-04-25     , 24                       , 500                          , 300                     , Used - Fair         ,
, 68        , Iragbiji Hospital , Osun        , Iragbiji City   , Neurosurgery    , Neuroendoscope      , 1        , 40000            , NeuroSurg         , Pedro Martinez   , +3322114455    , pedro@neurosurg.es     , Spain           , 2024-03-15   , 2024-04-10     , 36                       , 3000                         , 2000                    , New                 ,
, 69        , Ijebu-Igbo General, Ogun        , Ijebu-Igbo City, Cardiology      , Echocardiogram     , 1        , 40000            , CardioTech        , Emma Watson      , +6677889900    , emma@cardiotech.com    , USA             , 2024-02-20   , 2024-03-18     , 48                       , 2500                         , 1500                    , New                 ,
, 70        , Ilobu Medical     , Osun        , Ilobu City      , Pulmonology     , CPAP Machine        , 2        , 3000             , RespCare          , Emily Johnson    , +7755332211    , emily@respcare.cn      , China           , 2024-01-10   , 2024-02-05     , 24                       , 1000                         , 500                     , Used - Good         ,
, 71        , Ipoti General     , Ekiti       , Ipoti City      , Radiology       , X-ray Machine       , 1        , 25000            , MedImaging        , Anna Lee         , +7755332211    , anna@medimaging.fr     , France          , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 72        , Iseyin Medical    , Oyo         , Iseyin City     , Hematology      , Blood Bank Refrigerator, 1 , 5000             , BioTech           , Maria Garcia     , +3322114455    , maria@biotech.de       , Germany         , 2024-03-05   , 2024-03-28     , 48                       , 1000                         , 700                     , New                 ,
, 73        , Otukpo Hospital   , Benue       , Otukpo City     , Surgery         , Cautery Machine     , 1        , 8000             , SurgiEquip        , Ahmed Hassan     , +7755332211    , ahmed@surgiequip.com   , UAE             , 2024-02-28   , 2024-03-25     , 36                       , 2000                         , 1200                    , New                 ,
, 74        , Ogaminana General, Kogi        , Ogaminana City  , Pediatrics      , Phototherapy Unit  , 2        , 5000             , NeoCare           , Jessica Brown    , +6677889900    , jessica@neocare.au     , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 75        , Ode-Ekiti Medical , Ekiti      , Ode-Ekiti City  , Orthopedics     , Traction Table     , 1        , 15000            , OrthoTech         , Anna Lee         , +7755332211    , anna@orthotech.fr      , France          , 2024-04-02   , 2024-04-25     , 36                       , 2000                         , 1200                    , Refurbished         ,
, 76        , Egbe Specialist   , Kogi        , Egbe City       , Oncology        , Chemotherapy Pump  , 1        , 15000            , OncoCare          , Emily Johnson    , +3322114455    , emily@oncocare.cn      , China           , 2024-03-15   , 2024-04-10     , 48                       , 1800                         , 1000                    , Used - Good         ,
, 77        , Ifo Medical       , Ogun        , Ifo City        , Radiology       , MRI Machine         , 1        , 500000           , Imagix            , Jane Smith       , +7755332211    , jane@imagix.co.uk      , UK              , 2024-02-28   , 2024-03-25     , 48                       , 5000                         , 3000                    , New                 ,
, 78        , Idanre General    , Ondo        , Idanre City     , Surgery         , Surgical Lights    , 2        , 10000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com   , UAE             , 2024-01-10   , 2024-02-05     , 24                       , 1500                         , 800                     , Refurbished         ,
, 79        , Ikom Medical      , Cross River , Ikom City       , Hematology      , Hematology Analyzer, 1        , 30000            , HemoTech          , David Wilson     , +7755332211    , david@hemotech.us      , USA             , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 80        , Ijebu-Igbo General, Ogun        , Ijebu-Igbo City, Gynecology      , Colposcope         , 1        , 20000            , GynoTech          , Maria Sanchez    , +6677889900    , maria@gynotech.mx      , Mexico          , 2024-03-20   , 2024-04-15     , 36                       , 2000                         , 1200                    , New                 ,
, 81        , Iragbiji Hospital , Osun        , Iragbiji City   , Neurology       , TCD Machine        , 1        , 35000            , NeuroTech         , Pedro Martinez   , +3322114455    , pedro@neurotech.es     , Spain           , 2024-02-15   , 2024-03-10     , 48                       , 2500                         , 1500                    , New                 ,
, 82        , Ilaro Medical     , Ogun        , Ilaro City      , Cardiology      , Holter Monitor     , 2        , 6000             , CardioCare        , Emma Watson      , +7755332211    , emma@cardiocare.com    , USA             , 2024-01-10   , 2024-02-05     , 24                       , 1000                         , 500                     , Used - Good         ,
, 83        , Ikirun General    , Osun        , Ikirun City     , Hematology      , Microscope         , 1        , 20000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr     , France          , 2024-04-02   , 2024-04-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 84        , Ilorin Central    , Kwara       , Ilorin City     , Surgery         , Sterilization Equipment, 1 , 15000            , SteriTech         , Hassan Mohamed   , +3322114455    , hassan@steritech.sa    , Saudi Arabia    , 2024-03-20   , 2024-04-15     , 36                       , 1800                         , 1000                    , Used - Good         ,
, 85        , Ikare Specialist , Ondo        , Ikare City      , Pediatrics      , Infant Warmers     , 2        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au     , Australia       , 2024-02-15   , 2024-03-10     , 24                       , 800                          , 500                     , Used - Good         ,
, 86        , Ilobu Medical     , Osun        , Ilobu City      , Radiology       , X-ray Machine      , 1        , 25000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr     , France          , 2024-01-10   , 2024-02-05     , 36                       , 1500                         , 800                     , Refurbished         ,
, 87        , Ipoti General     , Ekiti       , Ipoti City      , Orthopedics     , Cast Cutter        , 1        , 5000             , OrthoTech         , Anna Lee         , +7755332211    , anna@orthotech.fr      , France          , 2024-04-02   , 2024-04-25     , 24                       , 800                          , 500                     , Used - Fair         ,
, 88        , Ikot-Ekpene Hosp  , Akwa Ibom   , Ikot-Ekpene City, Surgery         , Surgical Suction Machine, 1 , 10000           , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com   , UAE             , 2024-03-15   , 2024-04-10     , 36                       , 1500                         , 800                     , Refurbished         ,
,-----------,-------------------------,-------------,-------------------,------------------,-----------------------,----------,------------------,-------------------,------------------,----------------,------------------------,-----------------,--------------,----------------,--------------------------,------------------------------,-------------------------,---------------------,
, 89        , Abuja Central Hospital  , Abuja       , Abuja City        , Pediatrics       , Infant Warmers        , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-02-20   , 2024-03-18     , 24                       , 800                          , 500                     , Used - Good         ,
, 90        , Enugu State Hospital    , Enugu       , Enugu City        , Pediatrics       , Phototherapy Unit    , 1        , 5000             , NeoCare           , Jessica Brown    , +7755332211    , jessica@neocare.au    , Australia       , 2024-01-10   , 2024-02-05     , 24                       , 800                          , 500                     , Used - Good         ,
, 91        , Owerri General Hospital , Imo         , Owerri City       , Radiology        , Ultrasound Machine   , 1        , 40000            , Sonoscan          , Michael Chang    , +6677889900    , michael@sonoscan.jp   , Japan           , 2024-03-05   , 2024-03-28     , 36                       , 2000                         , 1200                    , New                 ,
, 92        , Kaduna National Hospital, Kaduna      , Kaduna City       , Surgery          , Anesthesia Machine   , 1        , 20000            , AnesthTech        , Ahmed Hassan     , +3322114455    , ahmed@anesthtech.com  , UAE             , 2024-04-02   , 2024-04-25     , 36                       , 2500                         , 1500                    , New                 ,
, 93        , Ibadan Teaching Hospital, Oyo         , Ibadan City       , Surgery          , Surgical Lights      , 1        , 15000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-15   , 2024-04-10     , 24                       , 1200                         , 700                     , Used - Good         ,
, 94        , Lokoja General Hospital , Kogi        , Lokoja City       , Radiology        , X-ray Machine        , 1        , 30000            , MedImaging        , Anna Lee         , +6677889900    , anna@medimaging.fr    , France          , 2024-02-28   , 2024-03-25     , 36                       , 1500                         , 800                     , Refurbished         ,
, 95        , Abeokuta Specialist Hosp, Ogun        , Abeokuta City     , Emergency Care   , Ventilator           , 1        , 40000            , RespTech          , Emily Johnson    , +7755332211    , emily@resptech.cn     , China           , 2024-01-20   , 2024-02-15     , 48                       , 2000                         , 1200                    , New                 ,
, 96        , Ilorin University Hospital , Kwara     , Ilorin City       , Surgery          , C-arm Fluoroscopy    , 1        , 60000            , FluoroTech        , Sophia Chen      , +3322114455    , sophia@fluorotech.tw  , Taiwan          , 2024-04-10   , 2024-05-05     , 48                       , 2500                         , 1500                    , New                 ,
, 97        , Minna Federal Medical Center , Niger    , Minna City        , Surgery          , Operating Table      , 1        , 50000            , SurgiEquip        , Ahmed Hassan     , +3322114455    , ahmed@surgiequip.com  , UAE             , 2024-03-05   , 2024-03-28     , 36                       , 1800                         , 1000                    , Used - Good         ,
